tag,package count,average occurrence per package,min,max
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/format,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/audioDataEncoding,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/byteOrder,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/use,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/primaryIdentifier,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/checksum,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/checksum/checksumValue,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/checksum/checksumKind,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/checksum/checksumCreateDate,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime/hours,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime/minutes,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime/seconds,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime/frames,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime/samples,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime/samples/numberOfSamples,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/startTime/filmFraming,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration/hours,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration/minutes,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration/seconds,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration/frames,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration/samples,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration/samples/numberOfSamples,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/timeline/duration/filmFraming,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime/hours,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime/minutes,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime/seconds,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime/frames,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime/samples,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime/samples/numberOfSamples,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/startTime/filmFraming,65,1.0,1,1
[document]/mets/amdSec/techMD/mdWrap/xmlData/audioObject/face/region/timeRange/duration,65,1.0,1,1
