tag,package count,total count
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/lastName,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/firstName,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/organization,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/street1,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/city,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/operator/countryCode,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/creationDate,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device,1,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor,1,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/manufacturer,1,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/modelName,1,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/userLabel,1,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/settings,1,4
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/patchList,1,2
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/serialNumber,1,3
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/descriptor/kind,1,3
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/settings/softwareVersion,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor/manufacturer,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor/modelName,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/descriptor/kind,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/settings,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/device/module/settings/softwareVersion,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/deviceChain/devicePatchList,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/mediaPool,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/mediaPool/media,1,2
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/hours,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/minutes,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/seconds,1,1
[document]/mets/amdSec/digiprovMD/mdWrap/xmlData/processHistory/processEvent/syncGroup/timeRange/startTime/frames,1,1
